BENE_SEX_IDENT_CD,BENE_AGE_CAT_CD,CC_ALZHDMTA,CC_CANCER,CC_CHF,CC_CHRNKIDN,CC_COPD,CC_DEPRESSN,CC_DIABETES,CC_ISCHMCHT,CC_OSTEOPRS,CC_RA_OA,CC_STRKETIA,CC_2_OR_MORE,DUAL_STUS,BENE_COUNT_PA_EQ_12,AVE_PA_PAY_PA_EQ_12,AVE_IP_PAY_PA_EQ_12,AVE_SNF_PAY_PA_EQ_12,AVE_OTH_PAY_PA_EQ_12,AVE_IP_ADM_PA_EQ_12,AVE_SNF_DAYS_PA_EQ_12,BENE_COUNT_PB_EQ_12,AVE_PB_PAY_PB_EQ_12,AVE_CA_PAY_PB_EQ_12,AVE_OP_PAY_PB_EQ_12,AVE_OTH_PAY_PB_EQ_12,AVE_CA_VST_PB_EQ_12,AVE_OP_VST_PB_EQ_12,BENE_COUNT_PC_EQ_12,BENE_COUNT_PD_EQ_12,AVE_PDE_CST_PD_EQ_12,AVE_PDE_PD_EQ_12,TotRx,TotRxRound,TotComorbid
CC_OSTEOPRS,0.212094378153801,0.0682617053517209,-0.0606219106264712,-0.0574944581089846,-0.149444317641274,-0.138795353149857,-0.0854011452651488,-0.0308090442117153,-0.124721260574062,-0.102772784880565,1,0.0169086436888635,-0.0499562066601236,0.0463271546545643,-0.0816310308999628,-0.0187868041018089,-0.163094716020108,-0.176921593259347,-0.0233140792461532,-0.112812767161758,-0.181000219169166,-0.0317510941656636,-0.0160176714383533,-0.153175598025833,-0.0794072667149888,-0.142727881635207,-0.197972591134718,0.0581536555116396,-0.145919958970557,-0.03128920800306,-0.0282800134510665,-0.159965234909738,-0.212223011651751,-0.0377249632467601,-0.0377249610677997,-0.02710549122569
CC_RA_OA,0.103214202826022,0.0168018683277029,-0.0520904213017694,-0.107031722453389,-0.0231328458877633,-0.026456522878156,-0.148321777982904,-0.0743475631723287,-0.0129766065539484,-0.00648992583356614,0.0169086436888635,1,-0.123663995113662,0.178778611623562,-0.0341334414518301,-0.0531710806275341,0.00768408408833032,-0.0181274696870391,0.0804487130464633,0.0115103028570827,-0.0207648192036795,0.0629097991989251,-0.0553655092507913,0.0719918090308927,0.136992091835711,-0.0607866098786999,0.245302270015691,0.324722393353416,0.0431963639727953,-0.0538523830709235,-0.0587000055913211,-0.0343298622626599,0.0547637429467788,-0.06423760128584,-0.0642376026246107,0.235894039560782
CC_STRKETIA,-8.3095976652005e-05,0.0145577133564282,-0.0569759433256664,-0.0530005842275595,-0.125025202629444,-0.127044595912832,-0.0865749068323827,-0.0677033779525096,-0.0495236066281665,-0.0715487592774522,-0.0499562066601236,-0.123663995113662,1,-0.0876870739211239,-0.0355658650941589,-0.0307177262134567,0.00646339745574084,0.00496899774240405,0.0250013489798295,-0.0222387370848492,0.0447614117482799,0.0128486513419841,-0.0361255097648204,-0.0929820491419907,-0.073950533819663,-0.0730566562843763,-0.107223002827696,-0.060219309312931,-0.0657741254781225,-0.0186374982869879,-0.0279459928541819,-0.144352195206118,-0.13519779247283,-0.03643088362625,-0.0364308813042317,-0.141930785119548
CC_2_OR_MORE,0.0684300963696344,0.0657555127871559,0.160064149147497,-0.0391696888519566,0.216501282209351,0.173681300635769,0.0740402763841371,0.0955564082352049,0.272261065796099,0.294040714517384,0.0463271546545643,0.178778611623562,-0.0876870739211239,1,-0.102580660775814,-0.283930781219331,0.345010564192532,0.309354075170406,0.259699619235176,0.229975529900214,0.348164274014097,0.248175547138779,-0.320152775023659,0.330098164212366,0.371980271486844,0.191456010035261,0.352929891124183,0.373755808745105,0.372038737026292,-0.21337974478472,-0.27451739111318,0.29375537779858,0.38062959382981,-0.300834455875099,-0.300834455561436,0.721015303871318
DUAL_STUS,0.0684335825354358,-0.0933031410327365,0.0610266418451108,-0.115102955032067,0.00193948102203031,-0.0384859899871275,-0.0911453112129698,-0.0267967052165133,0.0403523692771881,-0.0372691691704063,-0.0816310308999628,-0.0341334414518301,-0.0355658650941589,-0.102580660775814,1,-0.0786047629362942,0.0338338568470944,-0.0171436679560226,0.130312942261662,0.0904987126101336,-0.040342987154115,0.185127703964511,-0.0844856843764074,0.0312152421154087,-0.180264347828479,0.100085430904453,0.226898678458612,-0.450378383744619,0.190012794091218,-0.0443169499284575,-0.0307294494376561,0.500492462218688,0.553405517843782,0.00202433953828881,0.00202433940312091,0.256399141734235
BENE_COUNT_PA_EQ_12,-0.017330890173789,-0.0690175833518617,-0.0836346426536182,-0.0224074733985905,-0.0952047161545393,-0.0785957666513945,-0.0520880151547656,-0.0432745310842975,-0.0727556602339208,-0.078719236886949,-0.0187868041018089,-0.0531710806275341,-0.0307177262134567,-0.283930781219331,-0.0786047629362942,1,-0.153523629648554,-0.132444643347773,-0.119909013589893,-0.120641060848166,-0.153886192986703,-0.11531812855657,0.990329309200582,-0.155772659715585,-0.168902514995624,-0.0941130583326378,-0.169170466866301,-0.162009383771827,-0.207501190449847,0.900820671187792,0.941825821676949,-0.151992281079685,-0.186606926014207,0.894273268668459,0.894273270634141,-0.303911058136902
AVE_PA_PAY_PA_EQ_12,-0.0113195280824798,0.104485007590127,0.234649113316363,-0.156519752476171,0.501338809127771,0.541700384723888,0.148700070861048,0.0346843665946931,0.104329305616847,0.337953261814206,-0.163094716020108,0.00768408408833032,0.00646339745574084,0.345010564192532,0.0338338568470944,-0.153523629648554,1,0.929218753013458,0.704108890208785,0.584694910350494,0.945318997269468,0.68439037993825,-0.17527715227386,0.741800126612689,0.659944671820378,0.593751994037212,0.691630794458636,0.251216162738087,0.731517277835419,-0.10734723834486,-0.141118073827323,0.441297413959924,0.539537877802642,-0.152546594436852,-0.152546592381193,0.688519697603607
AVE_IP_PAY_PA_EQ_12,-0.0862444752473397,-0.130930276460828,-0.0352924775671383,-0.115242581262415,0.481698406173113,0.560147418893701,0.206586034856137,0.00748001784937189,0.137778516179058,0.3702704674003,-0.176921593259347,-0.0181274696870391,0.00496899774240405,0.309354075170406,-0.0171436679560226,-0.132444643347773,0.929218753013458,1,0.404538241281131,0.269462293255813,0.965017432135963,0.382382236942439,-0.150465852283045,0.840952564056989,0.774595289287298,0.72859523682059,0.584134465093123,0.445384828922452,0.808130453104767,-0.0968988288717824,-0.123989282137138,0.455146253445401,0.455942416381044,-0.131527786747905,-0.131527782863076,0.599028706044928
AVE_SNF_PAY_PA_EQ_12,0.119231727065489,0.486306762457133,0.58145549479087,-0.1760132723638,0.2906612552015,0.288424942724987,-0.0515811980151873,0.113740783581349,0.0208124534345054,0.13351912099169,-0.0233140792461532,0.0804487130464633,0.0250013489798295,0.259699619235176,0.130312942261662,-0.119909013589893,0.704108890208785,0.404538241281131,1,0.840567495834287,0.509405025086327,0.993722668413644,-0.138712774707834,0.24903615631534,0.183950867068238,0.0883475597677741,0.602806584149899,-0.190147220467971,0.286622347409656,-0.0755316239622361,-0.106030246757273,0.227195191743085,0.470295020144109,-0.120176381154522,-0.12017638378263,0.574203154110078
AVE_OTH_PAY_PA_EQ_12,0.162341284725569,0.524842935551176,0.716519107195597,-0.136058630922487,0.311869623112867,0.186385153910058,-0.00304907877606077,0.00319598879353292,-0.0542524215860012,0.0872204063255653,-0.112812767161758,0.0115103028570827,-0.0222387370848492,0.229975529900214,0.0904987126101336,-0.120641060848166,0.584694910350494,0.269462293255813,0.840567495834287,1,0.375714124877201,0.835822340419167,-0.13854923248682,0.123398093138396,0.0404820580086521,0.0019302283678388,0.508530037124578,-0.309351298042128,0.160601875776735,-0.0764546296677478,-0.1065081037814,0.169236833212336,0.395377818775859,-0.118665991729972,-0.11866599378522,0.461786388818233
